time,ping
2019-12-14 17:00:06,70.389
2019-12-14 17:00:11,42.821
2019-12-14 17:00:16,53.804
2019-12-14 17:00:21,34.657
2019-12-14 17:00:26,47.279
2019-12-14 17:00:31,38.333
2019-12-14 17:00:36,32.273
2019-12-14 17:00:41,30.071
2019-12-14 17:00:46,43.107
2019-12-14 17:00:51,38.461
2019-12-14 17:00:56,44.427
2019-12-14 17:01:01,34.731
2019-12-14 17:01:06,46.382
2019-12-14 17:01:11,31.976
2019-12-14 17:01:16,31.311
2019-12-14 17:01:21,61.404
2019-12-14 17:01:26,29.538
2019-12-14 17:01:31,45.26
2019-12-14 17:01:36,39.25
2019-12-14 17:01:41,45.544
2019-12-14 17:01:46,44.493
2019-12-14 17:01:51,45.278
2019-12-14 17:01:56,34.57
2019-12-14 17:02:01,30.105
2019-12-14 17:02:06,44.074
2019-12-14 17:02:11,36.407
2019-12-14 17:02:16,46.6
2019-12-14 17:02:21,48.31
2019-12-14 17:02:26,33.796
2019-12-14 17:02:31,61.108
2019-12-14 17:02:36,36.422
2019-12-14 17:02:41,45.232
2019-12-14 17:02:46,48.299
2019-12-14 17:02:51,29.357
2019-12-14 17:02:56,33.339
2019-12-14 17:03:01,27.486
2019-12-14 17:03:06,76.105
2019-12-14 17:03:11,29.37
2019-12-14 17:03:16,27.604
2019-12-14 17:03:21,37.189
2019-12-14 17:03:26,48.312
2019-12-14 17:03:31,46.454
2019-12-14 17:03:36,46.231
2019-12-14 17:03:41,45.238
2019-12-14 17:03:46,46.287
2019-12-14 17:03:51,45.588
2019-12-14 17:03:56,45.049
2019-12-14 17:04:01,44.203
2019-12-14 17:04:06,46.322
2019-12-14 17:04:11,37.472
2019-12-14 17:04:16,45.383
2019-12-14 17:04:21,27.433
2019-12-14 17:04:26,46.152
2019-12-14 17:04:31,45.34
2019-12-14 17:04:36,44.354
2019-12-14 17:04:41,28.081
2019-12-14 17:04:46,46.086
2019-12-14 17:04:51,46.445
2019-12-14 17:04:56,42.894
2019-12-14 17:05:01,29.359
2019-12-14 17:05:06,46.256
2019-12-14 17:05:11,46.404
2019-12-14 17:05:16,28.357
2019-12-14 17:05:21,45.308
2019-12-14 17:05:26,33.264
2019-12-14 17:05:31,48.208
2019-12-14 17:05:36,47.459
2019-12-14 17:05:41,62.362
2019-12-14 17:05:46,38.428
2019-12-14 17:05:51,45.714
2019-12-14 17:05:56,46.217
2019-12-14 17:06:01,31.28
2019-12-14 17:06:06,39.85
2019-12-14 17:06:11,47.329
2019-12-14 17:06:16,35.973
2019-12-14 17:06:21,62.465
2019-12-14 17:06:26,47.33
2019-12-14 17:06:31,29.369
2019-12-14 17:06:36,46.598
2019-12-14 17:06:41,30.328
2019-12-14 17:06:46,30.382
2019-12-14 17:06:51,44.998
2019-12-14 17:06:56,43.274
2019-12-14 17:07:01,32.317
2019-12-14 17:07:06,28.361
2019-12-14 17:07:11,35.35
2019-12-14 17:07:16,42.306
2019-12-14 17:07:21,29.266
2019-12-14 17:07:26,41.517
2019-12-14 17:07:31,30.348
2019-12-14 17:07:36,33.062
2019-12-14 17:07:41,78.571
2019-12-14 17:07:46,32.254
2019-12-14 17:07:51,46.611
2019-12-14 17:07:56,46.238
2019-12-14 17:08:01,28.302
2019-12-14 17:08:06,39.095
2019-12-14 17:08:11,44.271
2019-12-14 17:08:16,44.42
2019-12-14 17:08:21,28.072
2019-12-14 17:08:26,53.546
2019-12-14 17:08:31,31.556
2019-12-14 17:08:36,46.367
2019-12-14 17:08:41,31.28
2019-12-14 17:08:46,42.225
2019-12-14 17:08:51,35.029
2019-12-14 17:08:56,32.29
2019-12-14 17:09:01,28.408
2019-12-14 17:09:06,55.41
2019-12-14 17:09:11,30.303
2019-12-14 17:09:16,45.977
2019-12-14 17:09:21,29.365
2019-12-14 17:09:26,28.328
2019-12-14 17:09:31,62.243
2019-12-14 17:09:36,33.049
2019-12-14 17:09:41,29.462
2019-12-14 17:09:46,46.28
2019-12-14 17:09:51,47.1
2019-12-14 17:09:56,44.474
2019-12-14 17:10:01,31.542
2019-12-14 17:10:06,30.529
2019-12-14 17:10:11,32.331
2019-12-14 17:10:16,29.322
2019-12-14 17:10:21,102.084
2019-12-14 17:10:26,50.889
2019-12-14 17:10:31,39.356
2019-12-14 17:10:36,30.348
2019-12-14 17:10:41,61.319
2019-12-14 17:10:46,34.37
2019-12-14 17:10:51,46.297
2019-12-14 17:10:56,46.111
2019-12-14 17:11:01,31.396
2019-12-14 17:11:06,35.271
2019-12-14 17:11:11,54.355
2019-12-14 17:11:16,32.265
2019-12-14 17:11:21,46.982
2019-12-14 17:11:26,40.421
2019-12-14 17:11:31,28.06
2019-12-14 17:11:36,38.06
2019-12-14 17:11:41,38.374
2019-12-14 17:11:46,45.994
2019-12-14 17:11:51,29.571
2019-12-14 17:11:56,34.597
2019-12-14 17:12:01,29.971
2019-12-14 17:12:06,32.392
2019-12-14 17:12:11,34.407
2019-12-14 17:12:16,32.978
2019-12-14 17:12:21,29.846
2019-12-14 17:12:26,60.625
2019-12-14 17:12:31,35.256
2019-12-14 17:12:36,29.34
2019-12-14 17:12:41,55.043
2019-12-14 17:12:46,28.055
2019-12-14 17:12:51,45.016
2019-12-14 17:12:56,30.603
2019-12-14 17:13:01,32.384
2019-12-14 17:13:06,46.717
2019-12-14 17:13:11,29.299
2019-12-14 17:13:16,30.436
2019-12-14 17:13:21,44.413
2019-12-14 17:13:26,48.545
2019-12-14 17:13:31,47.218
2019-12-14 17:13:36,35.231
2019-12-14 17:13:41,30.535
2019-12-14 17:13:46,33.384
2019-12-14 17:13:51,47.09
2019-12-14 17:13:56,29.424
2019-12-14 17:14:01,32.53
2019-12-14 17:14:06,35.833
2019-12-14 17:14:11,62.678
2019-12-14 17:14:16,30.609
2019-12-14 17:14:21,48.141
2019-12-14 17:14:26,31.603
2019-12-14 17:14:31,47.33
2019-12-14 17:14:36,33.242
2019-12-14 17:14:41,30.544
2019-12-14 17:14:46,32.522
2019-12-14 17:14:51,46.359
2019-12-14 17:14:56,46.58
2019-12-14 17:15:01,41.299
2019-12-14 17:15:06,38.389
2019-12-14 17:15:11,38.356
2019-12-14 17:15:16,46.554
2019-12-14 17:15:21,28.717
2019-12-14 17:15:26,36.324
2019-12-14 17:15:31,41.001
2019-12-14 17:15:36,35.11
2019-12-14 17:15:41,38.622
2019-12-14 17:15:46,46.368
2019-12-14 17:15:51,29.531
2019-12-14 17:15:56,37.619
2019-12-14 17:16:01,47.279
2019-12-14 17:16:06,46.342
2019-12-14 17:16:11,47.227
2019-12-14 17:16:16,30.64
2019-12-14 17:16:21,45.3
2019-12-14 17:16:26,45.161
2019-12-14 17:16:31,47.329
2019-12-14 17:16:36,33.383
2019-12-14 17:16:41,31.089
2019-12-14 17:16:46,44.105
2019-12-14 17:16:51,30.567
2019-12-14 17:16:56,47.25
2019-12-14 17:17:01,48.603
2019-12-14 17:17:06,48.628
2019-12-14 17:17:11,46.651
2019-12-14 17:17:16,44.437
2019-12-14 17:17:21,28.374
2019-12-14 17:17:26,46.708
2019-12-14 17:17:31,33.12
2019-12-14 17:17:36,29.95
2019-12-14 17:17:41,33.501
2019-12-14 17:17:46,62.625
2019-12-14 17:17:51,36.671
2019-12-14 17:17:56,32.502
2019-12-14 17:18:01,29.933
2019-12-14 17:18:06,46.551
2019-12-14 17:18:11,46.687
2019-12-14 17:18:16,35.615
2019-12-14 17:18:21,31.573
2019-12-14 17:18:26,35.786
2019-12-14 17:18:31,32.375
2019-12-14 17:18:36,44.398
2019-12-14 17:18:41,46.624
2019-12-14 17:18:46,31.176
2019-12-14 17:18:51,62.667
2019-12-14 17:18:56,47.333
2019-12-14 17:19:01,38.586
2019-12-14 17:19:06,62.384
2019-12-14 17:19:11,47.643
2019-12-14 17:19:16,59.384
2019-12-14 17:19:21,46.435
2019-12-14 17:19:26,36.519
2019-12-14 17:19:31,47.352
2019-12-14 17:19:36,37.377
2019-12-14 17:19:41,28.485
2019-12-14 17:19:46,30.159
2019-12-14 17:19:51,47.376
2019-12-14 17:19:56,36.778
2019-12-14 17:20:01,47.314
2019-12-14 17:20:06,30.407
2019-12-14 17:20:11,46.012
2019-12-14 17:20:16,30.924
2019-12-14 17:20:21,29.09
2019-12-14 17:20:26,48.22
2019-12-14 17:20:31,46.328
2019-12-14 17:20:36,45.667
2019-12-14 17:20:41,31.034
2019-12-14 17:20:46,45.865
2019-12-14 17:20:51,37.264
2019-12-14 17:20:56,43.679
2019-12-14 17:21:01,29.321
2019-12-14 17:21:06,27.598
2019-12-14 17:21:11,44.734
2019-12-14 17:21:16,62.471
2019-12-14 17:21:21,29.968
2019-12-14 17:21:26,39.059
2019-12-14 17:21:31,47.406
2019-12-14 17:21:36,44.6
2019-12-14 17:21:41,46.198
2019-12-14 17:21:46,35.357
2019-12-14 17:21:51,31.883
2019-12-14 17:21:56,28.059
2019-12-14 17:22:01,45.266
2019-12-14 17:22:06,52.748
2019-12-14 17:22:11,46.129
2019-12-14 17:22:16,86.43
2019-12-14 17:22:21,94.164
2019-12-14 17:22:26,62.441
2019-12-14 17:22:31,30.211
2019-12-14 17:22:36,28.954
2019-12-14 17:22:41,33.386
2019-12-14 17:22:46,47.365
2019-12-14 17:22:51,46.793
2019-12-14 17:22:56,47.319
2019-12-14 17:23:01,62.516
2019-12-14 17:23:06,34.536
2019-12-14 17:23:11,28.335
2019-12-14 17:23:16,46.278
2019-12-14 17:23:21,42.951
2019-12-14 17:23:26,31.008
2019-12-14 17:23:31,45.79
2019-12-14 17:23:36,38.328
2019-12-14 17:23:41,28.283
2019-12-14 17:23:46,39.245
2019-12-14 17:23:51,29.252
2019-12-14 17:23:56,29.331
2019-12-14 17:24:01,37.278
2019-12-14 17:24:06,45.294
2019-12-14 17:24:11,33.391
2019-12-14 17:24:16,38.529
2019-12-14 17:24:21,39.274
2019-12-14 17:24:26,28.449
2019-12-14 17:24:31,47.21
2019-12-14 17:24:36,39.344
2019-12-14 17:24:41,43.231
2019-12-14 17:24:46,35.342
2019-12-14 17:24:51,37.319
2019-12-14 17:24:56,60.544
2019-12-14 17:25:01,36.307
2019-12-14 17:25:06,46.782
2019-12-14 17:25:11,54.327
2019-12-14 17:25:16,47.236
2019-12-14 17:25:21,45.292
2019-12-14 17:25:26,32.047
2019-12-14 17:25:31,45.098
2019-12-14 17:25:36,43.303
2019-12-14 17:25:41,46.418
2019-12-14 17:25:46,45.256
2019-12-14 17:25:51,35.816
2019-12-14 17:25:56,36.351
2019-12-14 17:26:01,44.381
2019-12-14 17:26:06,45.346
2019-12-14 17:26:11,37.332
2019-12-14 17:26:16,40.321
2019-12-14 17:26:21,36.28
2019-12-14 17:26:26,42.811
2019-12-14 17:26:31,30.475
2019-12-14 17:26:36,43.43
2019-12-14 17:26:41,33.525
2019-12-14 17:26:46,37.248
2019-12-14 17:26:51,38.832
2019-12-14 17:26:56,37.526
2019-12-14 17:27:01,40.26
2019-12-14 17:27:06,37.276
2019-12-14 17:27:11,35.349
2019-12-14 17:27:16,41.28
2019-12-14 17:27:21,36.304
2019-12-14 17:27:26,47.348
2019-12-14 17:27:31,38.314
2019-12-14 17:27:36,38.329
2019-12-14 17:27:41,47.597
2019-12-14 17:27:46,38.335
2019-12-14 17:27:51,36.517
2019-12-14 17:27:56,39.281
2019-12-14 17:28:01,37.353
2019-12-14 17:28:06,45.254
2019-12-14 17:28:11,41.343
2019-12-14 17:28:16,42.231
2019-12-14 17:28:21,42.028
2019-12-14 17:28:26,36.283
2019-12-14 17:28:31,41.333
2019-12-14 17:28:36,43.078
2019-12-14 17:28:41,39.242
2019-12-14 17:28:46,41.326
2019-12-14 17:28:51,45.327
2019-12-14 17:28:56,43.559
2019-12-14 17:29:01,37.377
2019-12-14 17:29:06,39.447
2019-12-14 17:29:11,32.346
2019-12-14 17:29:16,39.597
2019-12-14 17:29:21,40.135
2019-12-14 17:29:26,47.214
2019-12-14 17:29:31,39.38
2019-12-14 17:29:36,46.591
2019-12-14 17:29:41,49.327
2019-12-14 17:29:46,39.293
2019-12-14 17:29:51,46.004
2019-12-14 17:29:56,36.262
2019-12-14 17:30:01,45.216
2019-12-14 17:30:06,30.284
2019-12-14 17:30:11,46.304
2019-12-14 17:30:16,36.344
2019-12-14 17:30:21,39.268
2019-12-14 17:30:26,37.41
2019-12-14 17:30:31,34.27
2019-12-14 17:30:36,37.197
2019-12-14 17:30:41,41.289
2019-12-14 17:30:46,44.396
2019-12-14 17:30:51,36.315
2019-12-14 17:30:56,44.354
2019-12-14 17:31:01,30.495
2019-12-14 17:31:06,48.487
2019-12-14 17:31:11,37.283
2019-12-14 17:31:16,35.574
2019-12-14 17:31:21,41.282
2019-12-14 17:31:26,38.325
2019-12-14 17:31:31,47.967
2019-12-14 17:31:36,39.34
2019-12-14 17:31:41,49.692
2019-12-14 17:31:46,38.316
2019-12-14 17:31:51,29.949
2019-12-14 17:31:56,35.294
2019-12-14 17:32:01,37.302
2019-12-14 17:32:06,40.357
2019-12-14 17:32:11,40.41
2019-12-14 17:32:16,29.304
2019-12-14 17:32:21,40.362
2019-12-14 17:32:26,36.329
2019-12-14 17:32:31,36.571
2019-12-14 17:32:36,39.284
2019-12-14 17:32:41,44.659
2019-12-14 17:32:46,41.355
2019-12-14 17:32:51,46.325
2019-12-14 17:32:56,38.372
2019-12-14 17:33:01,46.321
2019-12-14 17:33:06,39.376
2019-12-14 17:33:11,42.609
2019-12-14 17:33:16,38.359
2019-12-14 17:33:21,42.402
2019-12-14 17:33:26,36.325
2019-12-14 17:33:31,42.135
2019-12-14 17:33:36,37.583
2019-12-14 17:33:41,44.94
2019-12-14 17:33:46,34.016
2019-12-14 17:33:51,37.379
2019-12-14 17:33:56,37.329
2019-12-14 17:34:01,43.529
2019-12-14 17:34:06,45.97
2019-12-14 17:34:11,37.401
2019-12-14 17:34:16,40.611
2019-12-14 17:34:21,39.314
2019-12-14 17:34:26,45.252
2019-12-14 17:34:31,45.606
2019-12-14 17:34:36,29.259
2019-12-14 17:34:41,39.33
2019-12-14 17:34:46,44.336
2019-12-14 17:34:51,40.111
2019-12-14 17:34:56,47.333
2019-12-14 17:35:01,41.381
2019-12-14 17:35:06,41.415
2019-12-14 17:35:11,38.836
2019-12-14 17:35:16,45.498
2019-12-14 17:35:21,48.572
2019-12-14 17:35:26,52.984
2019-12-14 17:35:31,39.283
2019-12-14 17:35:36,37.289
2019-12-14 17:35:41,40.183
2019-12-14 17:35:46,42.307
2019-12-14 17:35:51,40.223
2019-12-14 17:35:56,37.886
2019-12-14 17:36:01,41.058
2019-12-14 17:36:06,39.276
2019-12-14 17:36:11,39.234
2019-12-14 17:36:16,42.543
2019-12-14 17:36:21,40.144
2019-12-14 17:36:26,36.282
2019-12-14 17:36:31,36.276
2019-12-14 17:36:36,41.288
2019-12-14 17:36:41,40.268
2019-12-14 17:36:46,36.884
2019-12-14 17:36:51,36.047
2019-12-14 17:36:56,41.323
2019-12-14 17:37:01,40.275
2019-12-14 17:37:06,39.365
2019-12-14 17:37:11,32.225
2019-12-14 17:37:16,43.319
2019-12-14 17:37:21,40.435
2019-12-14 17:37:26,41.353
2019-12-14 17:37:31,44.1
2019-12-14 17:37:36,41.227
2019-12-14 17:37:41,38.375
2019-12-14 17:37:46,43.259
2019-12-14 17:37:51,41.228
2019-12-14 17:37:56,41.388
2019-12-14 17:38:01,43.399
2019-12-14 17:38:06,39.373
2019-12-14 17:38:11,39.513
2019-12-14 17:38:16,35.71
2019-12-14 17:38:21,40.295
2019-12-14 17:38:26,35.311
2019-12-14 17:38:31,36.526
2019-12-14 17:38:36,37.085
2019-12-14 17:38:41,38.186
2019-12-14 17:38:46,45.337
2019-12-14 17:38:51,46.667
2019-12-14 17:38:56,34.583
2019-12-14 17:39:01,39.489
2019-12-14 17:39:06,47.13
2019-12-14 17:39:11,45.413
2019-12-14 17:39:16,36.259
2019-12-14 17:39:21,41.269
2019-12-14 17:39:26,36.182
2019-12-14 17:39:31,37.004
2019-12-14 17:39:36,41.232
2019-12-14 17:39:41,35.404
2019-12-14 17:39:46,36.054
2019-12-14 17:39:51,42.244
2019-12-14 17:39:56,39.41
2019-12-14 17:40:01,45.257
2019-12-14 17:40:06,52.339
2019-12-14 17:40:11,49.402
2019-12-14 17:40:16,31.446
2019-12-14 17:40:21,28.224
2019-12-14 17:40:26,41.319
2019-12-14 17:40:31,39.975
2019-12-14 17:40:36,39.299
2019-12-14 17:40:41,47.02
2019-12-14 17:40:46,37.497
2019-12-14 17:40:51,55.298
2019-12-14 17:40:56,38.587
2019-12-14 17:41:01,45.952
2019-12-14 17:41:06,48.631
2019-12-14 17:41:11,36.383
2019-12-14 17:41:16,38.507
2019-12-14 17:41:21,37.06
2019-12-14 17:41:26,39.318
2019-12-14 17:41:31,49.182
2019-12-14 17:41:36,32.377
2019-12-14 17:41:41,40.314
2019-12-14 17:41:46,34.384
2019-12-14 17:41:51,38.36
2019-12-14 17:41:56,40.276
2019-12-14 17:42:01,37.277
2019-12-14 17:42:06,38.586
2019-12-14 17:42:11,38.322
2019-12-14 17:42:16,37.144
2019-12-14 17:42:21,39.297
2019-12-14 17:42:26,41.343
2019-12-14 17:42:31,45.3
2019-12-14 17:42:36,47.244
2019-12-14 17:42:41,42.328
2019-12-14 17:42:46,37.184
2019-12-14 17:42:51,39.535
2019-12-14 17:42:56,39.324
2019-12-14 17:43:01,40.287
2019-12-14 17:43:06,40.611
2019-12-14 17:43:11,36.726
2019-12-14 17:43:16,36.238
2019-12-14 17:43:21,56.227
2019-12-14 17:43:26,41.491
2019-12-14 17:43:31,45.086
2019-12-14 17:43:36,37.3
2019-12-14 17:43:41,35.024
2019-12-14 17:43:46,47.313
2019-12-14 17:43:51,40.032
2019-12-14 17:43:56,37.358
2019-12-14 17:44:01,45.382
2019-12-14 17:44:06,39.653
2019-12-14 17:44:11,36.321
2019-12-14 17:44:16,49.339
2019-12-14 17:44:21,46.297
2019-12-14 17:44:26,37.517
2019-12-14 17:44:31,36.253
2019-12-14 17:44:36,37.373
2019-12-14 17:44:41,35.593
2019-12-14 17:44:46,40.449
2019-12-14 17:44:51,40.285
2019-12-14 17:44:56,34.583
2019-12-14 17:45:01,36.391
2019-12-14 17:45:06,35.586
2019-12-14 17:45:11,42.552
2019-12-14 17:45:16,36.722
2019-12-14 17:45:21,39.285
2019-12-14 17:45:26,35.849
2019-12-14 17:45:31,40.055
2019-12-14 17:45:36,35.466
2019-12-14 17:45:41,34.467
2019-12-14 17:45:46,46.157
2019-12-14 17:45:51,45.627
2019-12-14 17:45:56,62.264
2019-12-14 17:46:01,34.563
2019-12-14 17:46:06,38.564
2019-12-14 17:46:11,48.173
2019-12-14 17:46:16,36.279
2019-12-14 17:46:21,41.262
2019-12-14 17:46:26,40.563
2019-12-14 17:46:31,43.392
2019-12-14 17:46:36,43.227
2019-12-14 17:46:41,45.371
2019-12-14 17:46:46,39.363
2019-12-14 17:46:51,38.78
2019-12-14 17:46:56,52.404
2019-12-14 17:47:01,46.494
2019-12-14 17:47:06,34.791
2019-12-14 17:47:11,45.624
2019-12-14 17:47:16,43.607
2019-12-14 17:47:21,46.508
2019-12-14 17:47:26,39.563
2019-12-14 17:47:31,37.494
2019-12-14 17:47:36,44.328
2019-12-14 17:47:41,36.347
2019-12-14 17:47:46,44.775
2019-12-14 17:47:51,52.428
2019-12-14 17:47:56,35.566
2019-12-14 17:48:01,47.319
2019-12-14 17:48:06,34.548
2019-12-14 17:48:11,38.685
2019-12-14 17:48:16,46.493
2019-12-14 17:48:21,36.368
2019-12-14 17:48:26,46.536
2019-12-14 17:48:31,45.645
2019-12-14 17:48:36,36.658
2019-12-14 17:48:41,39.488
2019-12-14 17:48:46,61.205
2019-12-14 17:48:51,45.378
2019-12-14 17:48:56,49.347
2019-12-14 17:49:01,41.465
2019-12-14 17:49:06,45.928
2019-12-14 17:49:11,32.228
2019-12-14 17:49:16,37.329
2019-12-14 17:49:21,38.492
2019-12-14 17:49:26,38.484
2019-12-14 17:49:31,40.58
2019-12-14 17:49:36,36.709
2019-12-14 17:49:41,47.342
2019-12-14 17:49:46,39.371
2019-12-14 17:49:51,47.033
2019-12-14 17:49:56,42.559
2019-12-14 17:50:01,47.116
2019-12-14 17:50:06,46.194
2019-12-14 17:50:11,68.903
2019-12-14 17:50:16,41.076
2019-12-14 17:50:21,31.097
2019-12-14 17:50:26,44.679
2019-12-14 17:50:31,37.211
2019-12-14 17:50:36,37.919
2019-12-14 17:50:41,28.702
2019-12-14 17:50:46,28.138
2019-12-14 17:50:51,29.47
2019-12-14 17:50:56,46.354
2019-12-14 17:51:01,45.555
2019-12-14 17:51:06,29.298
2019-12-14 17:51:11,31.363
2019-12-14 17:51:16,44.599
2019-12-14 17:51:21,28.267
2019-12-14 17:51:26,47.268
2019-12-14 17:51:31,42.4
2019-12-14 17:51:36,41.312
2019-12-14 17:51:41,47.544
2019-12-14 17:51:46,35.253
2019-12-14 17:51:51,36.821
2019-12-14 17:51:56,36.632
2019-12-14 17:52:01,31.428
2019-12-14 17:52:06,42.364
2019-12-14 17:52:11,45.542
2019-12-14 17:52:16,46.117
2019-12-14 17:52:21,42.328
2019-12-14 17:52:26,28.806
2019-12-14 17:52:31,49.226
2019-12-14 17:52:36,31.369
2019-12-14 17:52:41,46.293
2019-12-14 17:52:46,30.4
2019-12-14 17:52:51,45.29
2019-12-14 17:52:56,46.838
2019-12-14 17:53:01,47.519
2019-12-14 17:53:06,32.17
2019-12-14 17:53:11,42.318
2019-12-14 17:53:16,31.94
2019-12-14 17:53:21,32.139
2019-12-14 17:53:26,52.906
2019-12-14 17:53:31,30.365
2019-12-14 17:53:36,34.358
2019-12-14 17:53:41,43.605
2019-12-14 17:53:46,34.222
2019-12-14 17:53:51,48.01
2019-12-14 17:53:56,34.314
2019-12-14 17:54:01,35.169
2019-12-14 17:54:06,27.295
2019-12-14 17:54:11,33.295
2019-12-14 17:54:16,29.044
2019-12-14 17:54:21,32.09
2019-12-14 17:54:26,30.322
2019-12-14 17:54:31,29.278
2019-12-14 17:54:36,31.292
2019-12-14 17:54:41,47.094
2019-12-14 17:54:46,37.292
2019-12-14 17:54:51,28.558
2019-12-14 17:54:56,27.993
2019-12-14 17:55:01,35.367
2019-12-14 17:55:06,47.313
2019-12-14 17:55:11,54.107
2019-12-14 17:55:16,38.278
2019-12-14 17:55:21,29.849
2019-12-14 17:55:26,35.434
2019-12-14 17:55:31,42.29
2019-12-14 17:55:36,35.266
2019-12-14 17:55:41,34.302
2019-12-14 17:55:46,46.372
2019-12-14 17:55:51,37.368
2019-12-14 17:55:56,33.301
2019-12-14 17:56:01,45.143
2019-12-14 17:56:06,33.938
2019-12-14 17:56:11,30.313
2019-12-14 17:56:16,41.777
2019-12-14 17:56:21,30.576
2019-12-14 17:56:26,31.262
2019-12-14 17:56:31,45.377
2019-12-14 17:56:36,34.07
2019-12-14 17:56:41,33.364
2019-12-14 17:56:46,31.754
2019-12-14 17:56:51,32.603
2019-12-14 17:56:56,30.292
2019-12-14 17:57:01,28.892
2019-12-14 17:57:06,47.339
2019-12-14 17:57:11,35.49
2019-12-14 17:57:16,30.366
2019-12-14 17:57:21,30.332
2019-12-14 17:57:26,35.116
2019-12-14 17:57:31,34.33
2019-12-14 17:57:36,32.195
2019-12-14 17:57:41,33.051
2019-12-14 17:57:46,32.256
2019-12-14 17:57:51,29.359
2019-12-14 17:57:56,29.605
2019-12-14 17:58:01,46.184
2019-12-14 17:58:06,32.849
2019-12-14 17:58:11,55.371
2019-12-14 17:58:16,46.311
2019-12-14 17:58:21,31.897
2019-12-14 17:58:26,31.291
