time,ping
2019-12-16 17:00:06,38.688
2019-12-16 17:00:11,28.8
2019-12-16 17:00:16,33.311
2019-12-16 17:00:21,41.641
2019-12-16 17:00:26,40.516
2019-12-16 17:00:31,38.628
2019-12-16 17:00:36,34.521
2019-12-16 17:00:41,43.588
2019-12-16 17:00:46,39.621
2019-12-16 17:00:51,41.517
2019-12-16 17:00:56,37.262
2019-12-16 17:01:01,41.962
2019-12-16 17:01:06,39.195
2019-12-16 17:01:11,43.543
2019-12-16 17:01:16,37.662
2019-12-16 17:01:21,33.484
2019-12-16 17:01:26,39.017
2019-12-16 17:01:31,31.326
2019-12-16 17:01:36,33.499
2019-12-16 17:01:41,41.07
2019-12-16 17:01:46,39.292
2019-12-16 17:01:51,33.497
2019-12-16 17:01:56,35.236
2019-12-16 17:02:01,45.523
2019-12-16 17:02:06,43.315
2019-12-16 17:02:11,44.564
2019-12-16 17:02:16,38.087
2019-12-16 17:02:21,38.763
2019-12-16 17:02:26,46.941
2019-12-16 17:02:31,34.253
2019-12-16 17:02:36,38.108
2019-12-16 17:02:41,44.368
2019-12-16 17:02:46,35.103
2019-12-16 17:02:51,35.146
2019-12-16 17:02:56,49.017
2019-12-16 17:03:01,38.409
2019-12-16 17:03:06,45.192
2019-12-16 17:03:11,49.361
2019-12-16 17:03:16,39.33
2019-12-16 17:03:21,39.286
2019-12-16 17:03:26,41.066
2019-12-16 17:03:31,41.521
2019-12-16 17:03:36,35.541
2019-12-16 17:03:41,40.09
2019-12-16 17:03:46,36.547
2019-12-16 17:03:51,46.256
2019-12-16 17:03:56,42.059
2019-12-16 17:04:01,33.337
2019-12-16 17:04:06,33.607
2019-12-16 17:04:11,39.343
2019-12-16 17:04:16,39.029
2019-12-16 17:04:21,39.248
2019-12-16 17:04:26,39.364
2019-12-16 17:04:31,44.388
2019-12-16 17:04:36,39.138
2019-12-16 17:04:41,33.656
2019-12-16 17:04:46,38.869
2019-12-16 17:04:51,35.518
2019-12-16 17:04:56,36.228
2019-12-16 17:05:01,37.234
2019-12-16 17:05:06,34.26
2019-12-16 17:05:11,39.047
2019-12-16 17:05:16,39.282
2019-12-16 17:05:21,40.097
2019-12-16 17:05:26,46.237
2019-12-16 17:05:31,40.159
2019-12-16 17:05:36,39.457
2019-12-16 17:05:41,42.272
2019-12-16 17:05:46,42.748
2019-12-16 17:05:51,43.786
2019-12-16 17:05:56,46.07
2019-12-16 17:06:01,39.33
2019-12-16 17:06:06,35.302
2019-12-16 17:06:11,36.343
2019-12-16 17:06:16,54.327
2019-12-16 17:06:21,35.28
2019-12-16 17:06:26,41.156
2019-12-16 17:06:31,44.106
2019-12-16 17:06:36,33.59
2019-12-16 17:06:41,53.36
2019-12-16 17:06:46,34.264
2019-12-16 17:06:51,47.336
2019-12-16 17:06:56,35.334
2019-12-16 17:07:01,36.158
2019-12-16 17:07:06,32.927
2019-12-16 17:07:11,45.068
2019-12-16 17:07:16,34.265
2019-12-16 17:07:21,35.342
2019-12-16 17:07:26,45.732
2019-12-16 17:07:31,44.639
2019-12-16 17:07:36,47.43
2019-12-16 17:07:41,44.331
2019-12-16 17:07:46,33.64
2019-12-16 17:07:51,33.547
2019-12-16 17:07:56,33.468
2019-12-16 17:08:01,82.683
2019-12-16 17:08:06,39.457
2019-12-16 17:08:11,44.387
2019-12-16 17:08:16,33.4
2019-12-16 17:08:21,40.02
2019-12-16 17:08:26,38.167
2019-12-16 17:08:31,42.47
2019-12-16 17:08:36,35.676
2019-12-16 17:08:41,44.502
2019-12-16 17:08:46,34.529
2019-12-16 17:08:51,36.334
2019-12-16 17:08:56,41.339
2019-12-16 17:09:01,37.805
2019-12-16 17:09:06,47.295
2019-12-16 17:09:11,39.42
2019-12-16 17:09:16,47.142
2019-12-16 17:09:21,38.358
2019-12-16 17:09:26,34.14
2019-12-16 17:09:31,44.084
2019-12-16 17:09:36,39.362
2019-12-16 17:09:41,42.908
2019-12-16 17:09:46,42.667
2019-12-16 17:09:51,38.367
2019-12-16 17:09:56,41.382
2019-12-16 17:10:01,30.404
