time,ping
2020-01-28 17:00:16,37.9
2020-01-28 17:00:31,48.276
2020-01-28 17:00:46,33.306
2020-01-28 17:01:01,48.612
2020-01-28 17:01:16,43.411
2020-01-28 17:01:31,31.349
2020-01-28 17:01:46,41.709
2020-01-28 17:02:01,39.611
2020-01-28 17:02:16,32.363
2020-01-28 17:02:31,31.062
2020-01-28 17:02:46,38.35
2020-01-28 17:03:01,51.028
2020-01-28 17:03:16,31.405
2020-01-28 17:03:31,37.536
2020-01-28 17:03:46,38.443
2020-01-28 17:04:01,41.992
2020-01-28 17:04:16,40.52
2020-01-28 17:04:31,38.29
2020-01-28 17:04:46,40.565
2020-01-28 17:05:01,62.361
2020-01-28 17:05:16,41.963
2020-01-28 17:05:31,50.104
2020-01-28 17:05:46,46.392
2020-01-28 17:06:01,38.481
2020-01-28 17:06:16,50.293
2020-01-28 17:06:31,45.086
2020-01-28 17:06:46,43.046
2020-01-28 17:07:01,32.107
2020-01-28 17:07:16,39.334
2020-01-28 17:07:31,38.276
2020-01-28 17:07:46,29.942
2020-01-28 17:08:01,35.882
2020-01-28 17:08:16,36.382
2020-01-28 17:08:31,46.545
2020-01-28 17:08:46,30.944
2020-01-28 17:09:01,33.277
2020-01-28 17:09:16,32.315
2020-01-28 17:09:31,40.931
2020-01-28 17:09:46,43.314
2020-01-28 17:10:01,39.892
2020-01-28 17:10:16,44.159
2020-01-28 17:10:31,42.261
2020-01-28 17:10:46,42.988
2020-01-28 17:11:01,49.363
2020-01-28 17:11:16,42.803
2020-01-28 17:11:31,44.916
2020-01-28 17:11:46,32.535
2020-01-28 17:12:01,39.345
2020-01-28 17:12:16,47.667
2020-01-28 17:12:31,44.063
2020-01-28 17:12:46,38.985
2020-01-28 17:13:01,45.342
2020-01-28 17:13:16,39.802
2020-01-28 17:13:31,41.443
2020-01-28 17:13:46,38.436
2020-01-28 17:14:01,46.173
2020-01-28 17:14:16,42.279
2020-01-28 17:14:31,41.929
2020-01-28 17:14:46,47.414
2020-01-28 17:15:01,49.979
2020-01-28 17:15:16,42.422
2020-01-28 17:15:31,49.527
2020-01-28 17:15:46,43.636
2020-01-28 17:16:01,43.306
2020-01-28 17:16:16,40.536
2020-01-28 17:16:31,29.539
2020-01-28 17:16:46,32.857
2020-01-28 17:17:01,50.291
2020-01-28 17:17:16,48.565
2020-01-28 17:17:31,32.888
2020-01-28 17:17:46,31.505
2020-01-28 17:18:01,47.111
2020-01-28 17:18:16,41.015
2020-01-28 17:18:31,49.526
2020-01-28 17:18:46,44.686
2020-01-28 17:19:01,32.207
2020-01-28 17:19:16,33.559
2020-01-28 17:19:31,32.114
2020-01-28 17:19:46,30.282
2020-01-28 17:20:01,44.056
2020-01-28 17:20:16,32.276
2020-01-28 17:20:31,38.029
2020-01-28 17:20:46,46.515
2020-01-28 17:21:01,38.397
2020-01-28 17:21:16,45.27
2020-01-28 17:21:31,42.242
2020-01-28 17:21:46,44.434
2020-01-28 17:22:01,41.024
2020-01-28 17:22:16,32.62
2020-01-28 17:22:31,33.155
2020-01-28 17:22:46,57.437
2020-01-28 17:23:01,40.553
2020-01-28 17:23:16,46.146
2020-01-28 17:23:31,42.527
2020-01-28 17:23:46,47.559
2020-01-28 17:24:01,31.471
2020-01-28 17:24:16,50.404
2020-01-28 17:24:31,43.279
2020-01-28 17:24:46,45.455
2020-01-28 17:25:01,47.493
2020-01-28 17:25:16,53.642
2020-01-28 17:25:31,29.325
2020-01-28 17:25:46,31.985
2020-01-28 17:26:01,47.183
2020-01-28 17:26:16,29.526
2020-01-28 17:26:31,32.964
2020-01-28 17:26:46,42.273
2020-01-28 17:27:01,72.493
2020-01-28 17:27:16,46.493
2020-01-28 17:27:31,42.334
2020-01-28 17:27:46,30.601
2020-01-28 17:28:01,31.769
2020-01-28 17:28:16,33.313
2020-01-28 17:28:31,45.938
2020-01-28 17:28:46,32.035
2020-01-28 17:29:01,30.962
2020-01-28 17:29:16,30.462
2020-01-28 17:29:31,43.803
2020-01-28 17:29:46,47.156
2020-01-28 17:30:01,42.312
2020-01-28 17:30:16,42.62
2020-01-28 17:30:31,31.427
2020-01-28 17:30:46,58.514
2020-01-28 17:31:01,89.731
2020-01-28 17:31:16,30.153
2020-01-28 17:31:31,31.569
2020-01-28 17:31:46,33.335
2020-01-28 17:32:01,129.103
2020-01-28 17:32:16,32.745
2020-01-28 17:32:31,44.141
2020-01-28 17:32:46,58.288
2020-01-28 17:33:01,33.397
2020-01-28 17:33:16,60.709
2020-01-28 17:33:31,29.372
2020-01-28 17:33:46,33.876
2020-01-28 17:34:01,37.48
2020-01-28 17:34:16,46.582
2020-01-28 17:34:31,30.267
2020-01-28 17:34:46,33.129
2020-01-28 17:35:01,46.304
2020-01-28 17:35:16,42.412
2020-01-28 17:35:31,59.305
2020-01-28 17:35:46,43.056
2020-01-28 17:36:01,47.399
2020-01-28 17:36:16,29.652
2020-01-28 17:36:31,42.265
2020-01-28 17:36:46,41.109
2020-01-28 17:37:01,32.219
2020-01-28 17:37:16,40.972
2020-01-28 17:37:31,58.749
2020-01-28 17:37:46,47.079
2020-01-28 17:38:01,45.432
2020-01-28 17:38:16,41.68
2020-01-28 17:38:31,32.208
2020-01-28 17:38:46,33.241
2020-01-28 17:39:01,31.277
2020-01-28 17:39:16,47.251
2020-01-28 17:39:31,57.365
2020-01-28 17:39:46,32.866
2020-01-28 17:40:01,30.297
2020-01-28 17:40:16,53.358
2020-01-28 17:40:31,51.961
2020-01-28 17:40:46,44.333
2020-01-28 17:41:01,39.417
2020-01-28 17:41:16,38.57
