datetime,1st-id,1st-rtt,2nd-id,2nd-rtt,3rd-id,3rd-rtt,4th-id,4th-rtt,5th-id,5th-rtt,6th-id,6th-rtt,7th-id,7th-rtt,8th-id,8th-rtt,9th-id,9th-rtt,10th-id,10th-rtt,11th-id,11th-rtt,12th-id,12th-rtt,13th-id,13th-rtt,14th-id,14th-rtt,15th-id,15th-rtt,16th-id,16th-rtt,17th-id,17th-rtt,18th-id,18th-rtt,19th-id,19th-rtt,20th-id,20th-rtt,21th-id,21th-rtt,22th-id,22th-rtt,23th-id,23th-rtt,24th-id,24th-rtt,25th-id,25th-rtt,26th-id,26th-rtt,27th-id,27th-rtt,28th-id,28th-rtt,29th-id,29th-rtt,30th-id,30th-rtt,ping
2020/03/18 12:00:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),38.602,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),77.906,210.138.106.238(210.138.106.238),78.349,183.79.224.150(183.79.224.150),78.309,183.79.217.124(183.79.217.124),77.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.594
2020/03/18 12:00:31,*,,tky008nasgw110.IIJ.Net(160.13.52.241),76.550,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),86.906,210.138.106.238(210.138.106.238),91.354,183.79.224.150(183.79.224.150),90.441,183.79.217.124(183.79.217.124),86.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.264
2020/03/18 12:00:46,*,,tky008nasgw110.IIJ.Net(160.13.52.241),78.116,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),91.285,210.138.106.238(210.138.106.238),91.246,183.79.224.150(183.79.224.150),91.207,183.79.217.124(183.79.217.124),91.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.804
2020/03/18 12:01:01,*,,tky008nasgw110.IIJ.Net(160.13.52.241),73.638,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),87.305,210.138.106.238(210.138.106.238),97.805,183.79.224.150(183.79.224.150),97.767,183.79.217.124(183.79.217.124),97.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.944
2020/03/18 12:01:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),76.408,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),87.920,210.138.106.238(210.138.106.238),89.611,183.79.224.150(183.79.224.150),89.962,183.79.217.124(183.79.217.124),87.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.924
2020/03/18 12:01:31,*,,tky008nasgw110.IIJ.Net(160.13.52.241),80.115,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),92.951,210.138.106.238(210.138.106.238),93.639,183.79.224.150(183.79.224.150),94.835,183.79.217.124(183.79.217.124),94.790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.629
2020/03/18 12:01:46,*,,tky008nasgw110.IIJ.Net(160.13.52.241),75.858,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),95.937,210.138.106.238(210.138.106.238),101.637,183.79.224.150(183.79.224.150),95.865,183.79.217.124(183.79.217.124),95.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.365
2020/03/18 12:02:01,*,,tky008nasgw110.IIJ.Net(160.13.52.241),88.084,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),100.425,210.138.106.238(210.138.106.238),100.362,183.79.224.150(183.79.224.150),100.319,183.79.217.124(183.79.217.124),100.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.429
2020/03/18 12:02:16,*,,tky008nasgw110.IIJ.Net(160.13.52.241),77.732,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),90.653,210.138.106.238(210.138.106.238),90.610,183.79.224.150(183.79.224.150),94.155,183.79.217.124(183.79.217.124),92.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.423
2020/03/18 12:02:31,*,,tky008nasgw110.IIJ.Net(160.13.52.241),74.901,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),85.786,210.138.106.238(210.138.106.238),85.708,183.79.224.150(183.79.224.150),85.634,183.79.217.124(183.79.217.124),85.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.978
2020/03/18 12:02:46,*,,tky008nasgw110.IIJ.Net(160.13.52.241),70.600,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),80.477,210.138.106.238(210.138.106.238),84.923,183.79.224.150(183.79.224.150),82.997,183.79.217.124(183.79.217.124),82.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.099
