datetime,1st-id,1st-rtt,2nd-id,2nd-rtt,3rd-id,3rd-rtt,4th-id,4th-rtt,5th-id,5th-rtt,6th-id,6th-rtt,7th-id,7th-rtt,8th-id,8th-rtt,9th-id,9th-rtt,10th-id,10th-rtt,11th-id,11th-rtt,12th-id,12th-rtt,13th-id,13th-rtt,14th-id,14th-rtt,15th-id,15th-rtt,16th-id,16th-rtt,17th-id,17th-rtt,18th-id,18th-rtt,19th-id,19th-rtt,20th-id,20th-rtt,21th-id,21th-rtt,22th-id,22th-rtt,23th-id,23th-rtt,24th-id,24th-rtt,25th-id,25th-rtt,26th-id,26th-rtt,27th-id,27th-rtt,28th-id,28th-rtt,29th-id,29th-rtt,30th-id,30th-rtt,ping
2020/02/29 17:00:16,*,,*,,tky001bb11.IIJ.Net(58.138.88.21),39.035,tky001ix50.IIJ.Net(58.138.102.22),55.636,210.130.154.162(210.130.154.162),55.602,202.93.74.46(202.93.74.46),55.563,182.22.25.252(182.22.25.252),55.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.822
2020/02/29 17:00:31,*,,*,,tky001bb11.IIJ.Net(58.138.88.21),44.398,tky001ix50.IIJ.Net(58.138.102.38),46.624,210.130.154.162(210.130.154.162),54.960,202.93.95.178(202.93.95.178),53.023,203.141.47.66(203.141.47.66),59.872,*,,*,,182.22.16.253(182.22.16.253),52.852,182.22.16.251(182.22.16.251),56.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.180
2020/02/29 17:00:46,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),26.091,210.138.106.238(210.138.106.238),26.051,183.79.224.146(183.79.224.146),37.520,183.79.250.123(183.79.250.123),37.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.219
2020/02/29 17:01:01,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),32.053,210.138.106.238(210.138.106.238),42.214,183.79.224.202(183.79.224.202),42.136,183.79.250.251(183.79.250.251),42.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.082
2020/02/29 17:01:16,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),42.075,210.138.106.238(210.138.106.238),41.984,183.79.224.202(183.79.224.202),52.686,183.79.250.251(183.79.250.251),51.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.402
2020/02/29 17:01:31,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),38.039,210.138.106.238(210.138.106.238),48.573,183.79.224.150(183.79.224.150),48.527,183.79.217.124(183.79.217.124),48.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.208
2020/02/29 17:01:46,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),34.044,210.138.106.238(210.138.106.238),34.005,124.83.228.54(124.83.228.54),54.182,124.83.228.222(124.83.228.222),43.974,*,,*,,183.79.219.253(183.79.219.253),54.006,183.79.219.252(183.79.219.252),43.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.400
2020/02/29 17:02:01,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),38.094,210.138.106.238(210.138.106.238),48.416,124.83.228.54(124.83.228.54),48.371,124.83.228.222(124.83.228.222),48.321,*,,*,,183.79.219.253(183.79.219.253),48.178,183.79.219.252(183.79.219.252),48.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.509
2020/02/29 17:02:16,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),38.602,210.138.106.238(210.138.106.238),38.563,183.79.224.146(183.79.224.146),48.271,183.79.250.123(183.79.250.123),47.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.228
2020/02/29 17:02:31,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),41.600,210.138.106.238(210.138.106.238),56.482,183.79.224.146(183.79.224.146),52.083,183.79.250.123(183.79.250.123),51.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.217
2020/02/29 17:02:46,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),36.963,210.138.106.238(210.138.106.238),62.011,124.83.228.54(124.83.228.54),61.971,124.83.228.222(124.83.228.222),63.758,*,,*,,183.79.219.253(183.79.219.253),61.799,183.79.219.252(183.79.219.252),61.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.120
2020/02/29 17:03:01,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),25.970,210.138.106.238(210.138.106.238),34.916,183.79.224.150(183.79.224.150),34.819,183.79.217.124(183.79.217.124),36.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.431
2020/02/29 17:03:16,*,,*,,tky001bb11.IIJ.Net(58.138.98.225),43.028,tky001ix50.IIJ.Net(58.138.102.38),51.979,210.130.154.162(210.130.154.162),51.897,*,,182.22.25.124(182.22.25.124),49.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.073
2020/02/29 17:03:31,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),36.037,210.138.106.238(210.138.106.238),44.953,124.83.228.54(124.83.228.54),46.738,124.83.228.222(124.83.228.222),44.871,*,,*,,183.79.219.253(183.79.219.253),44.745,183.79.219.252(183.79.219.252),46.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.163
2020/02/29 17:03:46,*,,*,,osk004ip56.IIJ.Net(58.138.106.154),38.213,210.138.106.238(210.138.106.238),46.272,183.79.224.202(183.79.224.202),48.140,183.79.250.251(183.79.250.251),46.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.106
