datetime,1st-id,1st-rtt,2nd-id,2nd-rtt,3rd-id,3rd-rtt,4th-id,4th-rtt,5th-id,5th-rtt,6th-id,6th-rtt,7th-id,7th-rtt,8th-id,8th-rtt,9th-id,9th-rtt,10th-id,10th-rtt,11th-id,11th-rtt,12th-id,12th-rtt,13th-id,13th-rtt,14th-id,14th-rtt,15th-id,15th-rtt,16th-id,16th-rtt,17th-id,17th-rtt,18th-id,18th-rtt,19th-id,19th-rtt,20th-id,20th-rtt,21th-id,21th-rtt,22th-id,22th-rtt,23th-id,23th-rtt,24th-id,24th-rtt,25th-id,25th-rtt,26th-id,26th-rtt,27th-id,27th-rtt,28th-id,28th-rtt,29th-id,29th-rtt,30th-id,30th-rtt,ping
2020/03/01 07:00:16,*,,*,,osk004ip56.IIJ.Net(58.138.106.158),32.157,210.138.106.238(210.138.106.238),32.118,124.83.228.54(124.83.228.54),42.333,124.83.228.222(124.83.228.222),42.269,*,,*,,183.79.219.253(183.79.219.253),42.099,183.79.219.252(183.79.219.252),42.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.791
2020/03/01 07:00:31,*,,*,,tky001bb10.IIJ.Net(58.138.98.221),33.081,tky001ix50.IIJ.Net(58.138.102.18),42.459,210.130.154.162(210.130.154.162),42.421,*,,182.22.25.124(182.22.25.124),42.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.147
2020/03/01 07:00:46,*,,*,,tky001bb10.IIJ.Net(58.138.98.221),35.864,tky001ix50.IIJ.Net(58.138.102.18),42.942,210.130.154.162(210.130.154.162),42.908,202.93.95.178(202.93.95.178),42.861,203.141.47.66(203.141.47.66),42.818,*,,*,,182.22.16.253(182.22.16.253),42.686,182.22.16.251(182.22.16.251),42.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.133
2020/03/01 07:01:01,*,,*,,tky001bb10.IIJ.Net(58.138.98.221),33.108,tky001ix50.IIJ.Net(58.138.102.34),44.448,210.130.154.162(210.130.154.162),44.402,202.93.95.178(202.93.95.178),44.358,203.141.47.66(203.141.47.66),44.321,*,,*,,182.22.16.253(182.22.16.253),44.192,182.22.16.251(182.22.16.251),44.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.157
2020/03/01 07:01:16,*,,*,,osk004ip56.IIJ.Net(58.138.106.158),27.990,210.138.106.238(210.138.106.238),41.234,183.79.224.150(183.79.224.150),37.286,183.79.217.124(183.79.217.124),37.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.223
2020/03/01 07:01:31,*,,*,,tky001bb10.IIJ.Net(58.138.98.221),36.306,tky001ix50.IIJ.Net(58.138.102.18),44.500,210.130.154.162(210.130.154.162),44.450,*,,182.22.28.252(182.22.28.252),47.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.538
2020/03/01 07:01:46,*,,*,,tky001bb10.IIJ.Net(58.138.98.221),32.078,tky001ix50.IIJ.Net(58.138.102.34),49.143,210.130.154.162(210.130.154.162),67.925,*,,182.22.25.124(182.22.25.124),48.920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.504
2020/03/01 07:02:01,*,,*,,tky001bb10.IIJ.Net(58.138.98.221),32.986,tky001ix50.IIJ.Net(58.138.102.34),41.921,210.130.154.162(210.130.154.162),41.881,*,,182.22.28.252(182.22.28.252),46.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.845
2020/03/01 07:02:16,*,,*,,tky001bb10.IIJ.Net(58.138.88.17),60.965,tky001ix50.IIJ.Net(58.138.102.34),76.490,210.130.154.162(210.130.154.162),76.451,202.93.95.178(202.93.95.178),76.411,203.141.47.66(203.141.47.66),76.370,*,,*,,182.22.16.253(182.22.16.253),76.240,182.22.16.251(182.22.16.251),76.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.848
2020/03/01 07:02:31,*,,*,,tky001bb10.IIJ.Net(58.138.88.17),31.459,tky001ix50.IIJ.Net(58.138.102.34),42.739,210.130.154.162(210.130.154.162),42.703,202.93.74.46(202.93.74.46),44.614,182.22.25.252(182.22.25.252),42.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.289
